name	AMCSD_code
Genthelvite	969
Genthelvite	970
Danalite	971
Danalite	972
Helvine	973
Helvine	974
Fingerite	975
MgGeO3	976
MgGeO3	977
MgGeO3	978
MgGeO3	979
MgGeO3	980
MgGeO3	981
MgGeO3	982
Kambaldaite	983
Calcite	984
Calcite	985
Calcite	986
Calcite	987
Calcite	988
Calcite	989
Magnesite	990
Magnesite	991
Magnesite	992
Magnesite	993
Magnesite	994
Ferrierite-Na	995
Lacroixite	996
Paracelsian	997
Paracelsian	998
Pumpellyite-(Al)	999
Violarite	1000
Wroewolfeite	1001
Fuloppite	1002
Ilvaite	1003
Anandite	1004
Carnallite	1005
Huntite	1006
Orientite	1007
Krausite	1008
Lammerite	1009
FeFe2(PO3OH)4(H2O)4	1010
Beryl	1011
Beryl	1012
Beryl	1013
Beryl	1014
Albite	1015
Sillimanite	1016
Cordierite	1017
Cordierite	1018
Cordierite	1019
Cordierite	1020
Garnet	1021
Dumortierite	1022
Dumortierite	1023
Dumortierite	1024
Dumortierite	1025
Dolomite	1026
Dolomite	1027
Dolomite	1028
Dolomite	1029
Dolomite	1030
Dolomite	1031
Dolomite	1032
Dolomite	1033
Calzirtite	1034
Ungemachite	1035
Euclase	1036
Euclase	1037
Euclase	1038
Euclase	1039
Beryl	1040
Beryl	1041
Beryl	1042
Beryl	1043
Vesuvianite	1044
Clintonite-1M	1045
Hashemite	1046
Switzerite	1047
Bobierrite	1048
Baricite	1049
Henmilite	1050
Lisetite	1051
Andesine	1052
Andesine	1053
Omphacite	1054
Omphacite	1055
Omphacite	1056
Laihunite	1057
Staurolite	1058
Mullite	1059
Vesuvianite	1060
Uranophane - beta	1061
Goosecreekite	1062
Esseneite	1063
Lorenzenite	1064
Dolomite	1065
Tomichite	1066
Tomichite	1067
K3Ca2(SO4)3F	1068
Kutnohorite	1069
Kutnohorite	1070
MgSiO3	1071
Monteregianite-(Y)	1072
CaNiSi2O6	1073
CaCoSi2O6	1074
Blossite	1075
Muscovite	1076
Muscovite	1077
Muscovite	1078
Muscovite	1079
Muscovite	1080
Pargasite	1081
Pargasite	1082
Pargasite	1083
Pargasite	1084
Pargasite	1085
Olivine	1089
Olivine	1090
Olivine	1091
Vesuvianite	1092
Leiteite	1093
Hawthorneite	1094
Melanovanadite	1095
Monticellite	1096
Monticellite	1097
Monticellite	1098
Monticellite	1099
Monticellite	1100
Monticellite	1101
Monticellite	1102
Monticellite	1103
Hydrogarnet	1104
Hydrogarnet	1105
Hydrogarnet	1106
Hydrogarnet	1107
Hydrogarnet	1108
Grossular	1109
Phenakite	1110
